x,y,z,label
-9.500000000000000666e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,1.000000000000000000e+00
-9.500000000000000666e-01,-1.999999999999999833e-01,-9.999999999999997780e-02,1.000000000000000000e+00
-9.500000000000000666e-01,-1.999999999999999833e-01,2.775557561562891351e-17,1.000000000000000000e+00
-9.500000000000000666e-01,-1.999999999999999833e-01,1.000000000000000333e-01,1.000000000000000000e+00
-9.500000000000000666e-01,-1.999999999999999833e-01,2.000000000000000389e-01,1.000000000000000000e+00
-9.500000000000000666e-01,-9.999999999999997780e-02,-1.999999999999999833e-01,1.000000000000000000e+00
-9.500000000000000666e-01,-9.999999999999997780e-02,-9.999999999999997780e-02,1.000000000000000000e+00
-9.500000000000000666e-01,-9.999999999999997780e-02,2.775557561562891351e-17,1.000000000000000000e+00
-9.500000000000000666e-01,-9.999999999999997780e-02,1.000000000000000333e-01,1.000000000000000000e+00
-9.500000000000000666e-01,-9.999999999999997780e-02,2.000000000000000389e-01,1.000000000000000000e+00
-9.500000000000000666e-01,2.775557561562891351e-17,-1.999999999999999833e-01,1.000000000000000000e+00
-9.500000000000000666e-01,2.775557561562891351e-17,-9.999999999999997780e-02,1.000000000000000000e+00
-9.500000000000000666e-01,2.775557561562891351e-17,2.775557561562891351e-17,1.000000000000000000e+00
-9.500000000000000666e-01,2.775557561562891351e-17,1.000000000000000333e-01,1.000000000000000000e+00
-9.500000000000000666e-01,2.775557561562891351e-17,2.000000000000000389e-01,1.000000000000000000e+00
-9.500000000000000666e-01,1.000000000000000333e-01,-1.999999999999999833e-01,1.000000000000000000e+00
-9.500000000000000666e-01,1.000000000000000333e-01,-9.999999999999997780e-02,1.000000000000000000e+00
-9.500000000000000666e-01,1.000000000000000333e-01,2.775557561562891351e-17,1.000000000000000000e+00
-9.500000000000000666e-01,1.000000000000000333e-01,1.000000000000000333e-01,1.000000000000000000e+00
-9.500000000000000666e-01,1.000000000000000333e-01,2.000000000000000389e-01,1.000000000000000000e+00
-9.500000000000000666e-01,2.000000000000000389e-01,-1.999999999999999833e-01,1.000000000000000000e+00
-9.500000000000000666e-01,2.000000000000000389e-01,-9.999999999999997780e-02,1.000000000000000000e+00
-9.500000000000000666e-01,2.000000000000000389e-01,2.775557561562891351e-17,1.000000000000000000e+00
-9.500000000000000666e-01,2.000000000000000389e-01,1.000000000000000333e-01,1.000000000000000000e+00
-9.500000000000000666e-01,2.000000000000000389e-01,2.000000000000000389e-01,1.000000000000000000e+00
-8.500000000000000888e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-8.500000000000000888e-01,-1.999999999999999833e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-8.500000000000000888e-01,-1.999999999999999833e-01,2.775557561562891351e-17,0.000000000000000000e+00
-8.500000000000000888e-01,-1.999999999999999833e-01,1.000000000000000333e-01,0.000000000000000000e+00
-8.500000000000000888e-01,-1.999999999999999833e-01,2.000000000000000389e-01,0.000000000000000000e+00
-8.500000000000000888e-01,-9.999999999999997780e-02,-1.999999999999999833e-01,0.000000000000000000e+00
-8.500000000000000888e-01,-9.999999999999997780e-02,-9.999999999999997780e-02,0.000000000000000000e+00
-8.500000000000000888e-01,-9.999999999999997780e-02,2.775557561562891351e-17,0.000000000000000000e+00
-8.500000000000000888e-01,-9.999999999999997780e-02,1.000000000000000333e-01,0.000000000000000000e+00
-8.500000000000000888e-01,-9.999999999999997780e-02,2.000000000000000389e-01,0.000000000000000000e+00
-8.500000000000000888e-01,2.775557561562891351e-17,-1.999999999999999833e-01,0.000000000000000000e+00
-8.500000000000000888e-01,2.775557561562891351e-17,-9.999999999999997780e-02,0.000000000000000000e+00
-8.500000000000000888e-01,2.775557561562891351e-17,2.775557561562891351e-17,0.000000000000000000e+00
-8.500000000000000888e-01,2.775557561562891351e-17,1.000000000000000333e-01,0.000000000000000000e+00
-8.500000000000000888e-01,2.775557561562891351e-17,2.000000000000000389e-01,0.000000000000000000e+00
-8.500000000000000888e-01,1.000000000000000333e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-8.500000000000000888e-01,1.000000000000000333e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-8.500000000000000888e-01,1.000000000000000333e-01,2.775557561562891351e-17,0.000000000000000000e+00
-8.500000000000000888e-01,1.000000000000000333e-01,1.000000000000000333e-01,0.000000000000000000e+00
-8.500000000000000888e-01,1.000000000000000333e-01,2.000000000000000389e-01,0.000000000000000000e+00
-8.500000000000000888e-01,2.000000000000000389e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-8.500000000000000888e-01,2.000000000000000389e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-8.500000000000000888e-01,2.000000000000000389e-01,2.775557561562891351e-17,0.000000000000000000e+00
-8.500000000000000888e-01,2.000000000000000389e-01,1.000000000000000333e-01,0.000000000000000000e+00
-8.500000000000000888e-01,2.000000000000000389e-01,2.000000000000000389e-01,0.000000000000000000e+00
-7.500000000000001110e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-7.500000000000001110e-01,-1.999999999999999833e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-7.500000000000001110e-01,-1.999999999999999833e-01,2.775557561562891351e-17,0.000000000000000000e+00
-7.500000000000001110e-01,-1.999999999999999833e-01,1.000000000000000333e-01,0.000000000000000000e+00
-7.500000000000001110e-01,-1.999999999999999833e-01,2.000000000000000389e-01,0.000000000000000000e+00
-7.500000000000001110e-01,-9.999999999999997780e-02,-1.999999999999999833e-01,0.000000000000000000e+00
-7.500000000000001110e-01,-9.999999999999997780e-02,-9.999999999999997780e-02,0.000000000000000000e+00
-7.500000000000001110e-01,-9.999999999999997780e-02,2.775557561562891351e-17,0.000000000000000000e+00
-7.500000000000001110e-01,-9.999999999999997780e-02,1.000000000000000333e-01,0.000000000000000000e+00
-7.500000000000001110e-01,-9.999999999999997780e-02,2.000000000000000389e-01,0.000000000000000000e+00
-7.500000000000001110e-01,2.775557561562891351e-17,-1.999999999999999833e-01,0.000000000000000000e+00
-7.500000000000001110e-01,2.775557561562891351e-17,-9.999999999999997780e-02,0.000000000000000000e+00
-7.500000000000001110e-01,2.775557561562891351e-17,2.775557561562891351e-17,0.000000000000000000e+00
-7.500000000000001110e-01,2.775557561562891351e-17,1.000000000000000333e-01,0.000000000000000000e+00
-7.500000000000001110e-01,2.775557561562891351e-17,2.000000000000000389e-01,0.000000000000000000e+00
-7.500000000000001110e-01,1.000000000000000333e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-7.500000000000001110e-01,1.000000000000000333e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-7.500000000000001110e-01,1.000000000000000333e-01,2.775557561562891351e-17,0.000000000000000000e+00
-7.500000000000001110e-01,1.000000000000000333e-01,1.000000000000000333e-01,0.000000000000000000e+00
-7.500000000000001110e-01,1.000000000000000333e-01,2.000000000000000389e-01,0.000000000000000000e+00
-7.500000000000001110e-01,2.000000000000000389e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-7.500000000000001110e-01,2.000000000000000389e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-7.500000000000001110e-01,2.000000000000000389e-01,2.775557561562891351e-17,0.000000000000000000e+00
-7.500000000000001110e-01,2.000000000000000389e-01,1.000000000000000333e-01,0.000000000000000000e+00
-7.500000000000001110e-01,2.000000000000000389e-01,2.000000000000000389e-01,0.000000000000000000e+00
-6.500000000000001332e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-6.500000000000001332e-01,-1.999999999999999833e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-6.500000000000001332e-01,-1.999999999999999833e-01,2.775557561562891351e-17,0.000000000000000000e+00
-6.500000000000001332e-01,-1.999999999999999833e-01,1.000000000000000333e-01,0.000000000000000000e+00
-6.500000000000001332e-01,-1.999999999999999833e-01,2.000000000000000389e-01,0.000000000000000000e+00
-6.500000000000001332e-01,-9.999999999999997780e-02,-1.999999999999999833e-01,0.000000000000000000e+00
-6.500000000000001332e-01,-9.999999999999997780e-02,-9.999999999999997780e-02,0.000000000000000000e+00
-6.500000000000001332e-01,-9.999999999999997780e-02,2.775557561562891351e-17,0.000000000000000000e+00
-6.500000000000001332e-01,-9.999999999999997780e-02,1.000000000000000333e-01,0.000000000000000000e+00
-6.500000000000001332e-01,-9.999999999999997780e-02,2.000000000000000389e-01,0.000000000000000000e+00
-6.500000000000001332e-01,2.775557561562891351e-17,-1.999999999999999833e-01,0.000000000000000000e+00
-6.500000000000001332e-01,2.775557561562891351e-17,-9.999999999999997780e-02,0.000000000000000000e+00
-6.500000000000001332e-01,2.775557561562891351e-17,2.775557561562891351e-17,0.000000000000000000e+00
-6.500000000000001332e-01,2.775557561562891351e-17,1.000000000000000333e-01,0.000000000000000000e+00
-6.500000000000001332e-01,2.775557561562891351e-17,2.000000000000000389e-01,0.000000000000000000e+00
-6.500000000000001332e-01,1.000000000000000333e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-6.500000000000001332e-01,1.000000000000000333e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-6.500000000000001332e-01,1.000000000000000333e-01,2.775557561562891351e-17,0.000000000000000000e+00
-6.500000000000001332e-01,1.000000000000000333e-01,1.000000000000000333e-01,0.000000000000000000e+00
-6.500000000000001332e-01,1.000000000000000333e-01,2.000000000000000389e-01,0.000000000000000000e+00
-6.500000000000001332e-01,2.000000000000000389e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-6.500000000000001332e-01,2.000000000000000389e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-6.500000000000001332e-01,2.000000000000000389e-01,2.775557561562891351e-17,0.000000000000000000e+00
-6.500000000000001332e-01,2.000000000000000389e-01,1.000000000000000333e-01,0.000000000000000000e+00
-6.500000000000001332e-01,2.000000000000000389e-01,2.000000000000000389e-01,0.000000000000000000e+00
-5.500000000000001554e-01,-1.999999999999999833e-01,-1.999999999999999833e-01,0.000000000000000000e+00
-5.500000000000001554e-01,-1.999999999999999833e-01,-9.999999999999997780e-02,0.000000000000000000e+00
-5.500000000000001554e-01,-1.999999999999999833e-01,2.775557561562891351e-17,0.000000000000000000e+00
-5.500000000000001554e-01,-1.999999999999999833e-01,1.000000000000000333e-01,0.000000000000000000e+00
-5.500000000000001554e-01,-1.999999999999999833e-01,2.000000000000000389e-01,0.000000000000000000e+00
-5.500000000000001554e-01,-9.999999999999997780e-02,-1.999999999999999833e-01,0.000000000000000000e+00
-5.500000000000001554e-01,-9.999999999999997780e-02,-9.999999999999997780e-02,0.000000000000000000e+00
-5.500000000000001554e-01,-9.999999999999997780e-02,2.775557561562891351e-17,0.000000000000000000e+00
-5.500000000000001554e-01,-9.999999999999997780e-02,1.000000000000000333e-01,0.000000000000000000e+00
-5.500000000000001554e-01,-9.999999999999997780e-02,2.000000000000000389e-01,0.000000000000000000e+00
-5.500000000000001554e-01,2.775557561562891351e-17,-1.999999999999999833e-01,0.000000000000000000e+00
